census_tract,from,to,ratio_from,ratio_to
17031030400,319.0,270.0,1.7020613617131166e-05,1.5868530517652623e-05
17031030500,3603.0,718.0,0.0001922422284091649,4.2198536709905866e-05
17031030601,450.0,302.0,2.4010269992818263e-05,1.774924524567071e-05
17031030603,430.0,79.0,2.2943146882026338e-05,4.6430144847946565e-06
17031030604,1002.0,1144.0,5.346286785067533e-05,6.723555152664668e-05
17031030701,97.0,57.0,5.175547087340825e-06,3.3500231092822203e-06
17031030702,128.0,90.0,6.8295879090683055e-06,5.289510172550875e-06
17031030703,1085.0,250.0,5.7891428760461805e-05,1.4693083812641318e-05
17031030706,1652.0,3428.0,8.814436895141281e-05,0.00020147156523893776
17031030800,5723.0,1488.0,0.0003053572781531087,8.745323485284113e-05
17031030900,1867.0,2020.0,9.961594239242599e-05,0.00011872011720614185
17031031000,3111.0,1350.0,0.00016599099988368358,7.934265258826312e-05
17031031100,5326.0,3675.0,0.00028417488440388904,0.00021598833204582738
17031031200,4032.0,1983.0,0.00021513201913565163,0.00011654554080187094
17031031300,6117.0,3836.0,0.00032637960343570956,0.00022545067802116838
17031031400,25052.0,21219.0,0.0013366784085779625,0.0012470901816817445
17031031501,625.0,144.0,3.334759721224758e-05,8.4632162760814e-06
17031031502,2035.0,492.0,0.00010857977652307814,2.8915988943278116e-05
17031031700,6272.0,1126.0,0.00033464980754434694,6.617764949213649e-05
17031031800,570.0,657.0,3.0413008657569797e-05,3.861342425962138e-05
17031031900,1250.0,422.0,6.669519442449516e-05,2.4801925475738544e-05
17031032100,17240.0,15401.0,0.0009198601215026374,0.0009051527351939557
17031040100,1013.0,125.0,5.404978556161089e-05,7.346541906320659e-06
17031040201,2674.0,218.0,0.00014267435991288007,1.281236908462323e-05
17031040202,394.0,99.0,2.1022325282600876e-05,5.818461189805962e-06
17031040300,32.0,2.0,1.7073969772670764e-06,1.1754467050113054e-07
17031040401,616.0,34.0,3.286739181239122e-05,1.9982593985192192e-06
17031040402,3032.0,220.0,0.0001617758635960555,1.292991375512436e-05
17031040600,1875.0,529.0,0.00010004279163674276,3.109056534754903e-05
17031040700,690.0,78.0,3.6815747322321335e-05,4.584242149544091e-06
17031040800,106.0,6.0,5.65575248719719e-06,3.526340115033916e-07
17031040900,1273.0,282.0,6.792238600190589e-05,1.6573798540659407e-05
17031050100,1809.0,195.0,9.652128537112942e-05,1.1460605373860228e-05
17031050200,5354.0,1021.0,0.0002856688567589977,6.0006554290827146e-05
17031050300,279.0,26.0,1.4886367395547322e-05,1.528080716514697e-06
17031050500,2986.0,857.0,0.00015932148044123405,5.036789130973444e-05
17031050600,3891.0,1203.0,0.00020760880120456856,7.070311930643003e-05
17031050700,978.0,68.0,5.218232011772502e-05,3.9965187970384384e-06
17031050800,594.0,74.0,3.1693556390520106e-05,4.34915280854183e-06
17031050900,162.0,14.0,8.643697197414574e-06,8.228126935079139e-07
17031051000,382.0,45.0,2.0382051416125723e-05,2.6447550862754373e-06
17031051100,677.0,211.0,3.6122117300306584e-05,1.2400962737869272e-05
17031051200,1266.0,75.0,6.754889291312871e-05,4.407925143792395e-06
17031051300,2453.0,190.0,0.00013088264953862932,1.1166743697607401e-05
17031051400,541.0,171.0,2.886568014692151e-05,1.0050069327846661e-05
17031060100,3147.0,1287.0,0.00016791182148310905,7.56399954674775e-05
17031060200,997.0,134.0,5.3196087072977345e-05,7.875492923575746e-06
17031060300,3137.0,572.0,0.00016737825992771307,3.361777576332334e-05
17031060400,8983.0,3005.0,0.0004792983452121921,0.00017661086742794865
17031060500,1464.0,829.0,7.811341170996875e-05,4.872226592271861e-05
17031060800,19655.0,19532.0,0.001048715237130762,0.001147941252114041
17031060900,36574.0,38787.0,0.0019514480327051892,0.002279602567363675
17031061000,23007.0,9145.0,0.0012275650704994883,0.0005374730058664194
17031061100,16217.0,10158.0,0.0008652767743856306,0.000597009381475242
17031061200,4258.0,1458.0,0.00022719051028760034,8.569006479532416e-05
17031061500,4124.0,1402.0,0.00022004078544529446,8.239881402129252e-05
17031061800,2002.0,2231.0,0.00010681902339027147,0.00013112107994401112
17031061901,19553.0,3876.0,0.0010432729092657233,0.000227801571431191
17031061902,29370.0,33420.0,0.0015670702881979384,0.0019641714440738916
17031062000,25678.0,15437.0,0.0013700793619457496,0.0009072685392629761
17031062100,24428.0,27153.0,0.0013033841675212543,0.0015958452190585988
17031062200,10724.0,5830.0,0.000572191412006629,0.0003426427145107955
17031062300,4379.0,648.0,0.00023364660510789148,3.80844732423663e-05
17031062400,2566.0,848.0,0.0001369118951146037,4.983894029247935e-05
17031062500,3838.0,1044.0,0.00020478092496096996,6.135831800159014e-05
17031062600,2900.0,594.0,0.0001547328510648288,3.491076713883577e-05
17031062700,9054.0,2059.0,0.0004830866322555034,0.0001210122382809139
17031062800,14138.0,3822.0,0.0007543493270188102,0.00022462786532766047
