census_tract,avg,std
17031071400,11.3241235739,1.80573405595
17031071500,9.84607684678,1.58605087166
17031080100,8.63058475235,1.42537745177
17031080201,8.79739643584,1.30659852125
17031080202,8.2871670827,1.30977845045
17031080300,8.81705338122,1.48394610178
17031081000,7.49889425909,1.2818994775
17031081100,7.68806002892,1.29591363316
17031081201,7.61109364439,1.41310739767
17031081202,8.03909664226,1.4473803638
17031081300,7.67738972714,1.5052603063
17031081401,7.15810991886,1.40167561524
17031081402,7.40656486643,1.47734575537
17031081403,6.52983036203,1.37323765555
17031081500,6.49566783515,1.36364152779
17031081600,6.19493159051,1.25067584933
17031081700,6.12761999113,1.22031023119
17031081800,6.62521537639,1.32286964249
17031243500,8.35378170742,1.6015723401
17031280100,6.13997454432,1.17718156038
17031281900,6.16025880586,1.25694665408
17031320100,5.77561269654,1.62050705507
17031320400,5.47640943863,1.53296399722
17031320600,6.16423207946,1.81042927765
17031330100,8.45067555958,1.97125091192
17031833000,7.35095620687,1.4371682429
17031833100,7.21886221779,1.4639564928
17031838100,10.2995855496,1.92778691813
17031839000,6.01613094087,1.51819659717
17031839100,5.5942603114,1.46694353026
17031841000,9.4240964722,1.88566053099
17031841900,7.0545221236,1.74621795099
17031842200,9.39590596832,1.95930365116
17031842300,8.26511151785,2.26910815186
17031980000,39.7070969749,5.41518567313
17031980100,28.4021948858,3.86240767822
