census_tract,avg,std
17031071500,9.96696348916,2.23037334296
17031080100,8.74459753844,2.10379731115
17031080202,8.39658708309,2.03510638997
17031081000,7.59775432955,1.9647934778
17031081100,7.78595090289,1.94840143022
17031081201,7.71338539682,2.10308796985
17031081202,8.16911769714,2.36908769204
17031081300,7.78938184099,2.26147564131
17031081401,7.2537740194,2.0606228026
17031081402,7.49674835346,1.98359361978
17031081403,6.64496430053,2.24342536414
17031081500,6.6122831965,2.24354233223
17031081600,6.3095056925,2.17008402047
17031081700,6.23181539324,2.03087252671
17031081800,6.72901891134,2.12324890227
17031280100,6.22990343648,1.87298712394
17031281900,6.25328535324,1.96351428898
17031320100,6.07041280163,3.56866111348
17031320400,5.80433728413,3.74446319701
17031320600,6.49618829762,3.86296758465
17031330100,8.58581627045,2.67570331568
17031833100,7.32257433705,2.13476367325
17031839100,5.83937445897,3.14664180114
17031980000,39.8986122939,5.96607476366
17031980100,28.5845441834,4.60939950196
